,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
2385,CHE,Switzerland,11Apr,24228,733,805,49,2799.43,84.695,93.014,5.662000000000001,190000.0,5250.0,21.954,0.607,tests performed
2386,CHE,Switzerland,12Apr,24820,592,831,26,2867.833,68.403,96.01799999999999,3.0039999999999996,193800.0,3800.0,22.393,0.439,tests performed
2387,CHE,Switzerland,13Apr,25220,400,858,27,2914.051,46.218,99.13799999999999,3.12,196600.0,2800.0,22.715999999999998,0.324,tests performed
2388,CHE,Switzerland,14Apr,25499,279,858,0,2946.288,32.236999999999995,99.13799999999999,0.0,199000.0,2400.0,22.994,0.27699999999999997,tests performed
2389,CHE,Switzerland,15Apr,25753,254,900,42,2975.637,29.348000000000003,103.991,4.853,202633.0,3633.0,23.413,0.42,tests performed
2390,CHE,Switzerland,16Apr,26336,583,973,73,3043.0,67.363,112.426,8.435,206400.0,3767.0,23.849,0.435,tests performed
2391,CHE,Switzerland,17Apr,26651,315,1016,43,3079.3959999999997,36.397,117.39399999999999,4.968,211400.0,5000.0,24.426,0.578,tests performed
2392,CHE,Switzerland,18Apr,26997,346,1058,42,3119.375,39.979,122.24700000000001,4.853,216400.0,5000.0,25.004,0.578,tests performed
2393,CHE,Switzerland,19Apr,27322,325,1110,52,3156.927,37.552,128.255,6.007999999999999,221263.0,4863.0,25.566,0.562,tests performed
2394,CHE,Switzerland,20Apr,27658,336,1134,24,3195.7509999999997,38.823,131.028,2.773,224442.0,3179.0,25.933000000000003,0.36700000000000005,tests performed
2395,CHE,Switzerland,21Apr,27826,168,1141,7,3215.1620000000003,19.412,131.83700000000002,0.809,227554.0,3112.0,26.293000000000003,0.36,tests performed
2396,CHE,Switzerland,22Apr,27981,155,1186,45,3233.072,17.91,137.037,5.2,230946.0,3392.0,26.685,0.392,tests performed
2397,CHE,Switzerland,23Apr,28186,205,1216,30,3256.758,23.686999999999998,140.503,3.466,235252.0,4306.0,27.182,0.498,tests performed
2398,CHE,Switzerland,24Apr,28414,228,1267,51,3283.103,26.344,146.39600000000002,5.893,240600.0,5348.0,27.8,0.618,tests performed
2399,CHE,Switzerland,25Apr,28595,181,1308,41,3304.0159999999996,20.914,151.13299999999998,4.737,245300.0,4700.0,28.343000000000004,0.5429999999999999,tests performed
2400,CHE,Switzerland,26Apr,28811,216,1328,20,3328.974,24.958000000000002,153.444,2.311,249650.0,4350.0,28.846,0.503,tests performed
2401,CHE,Switzerland,27Apr,28978,167,1336,8,3348.27,19.296,154.368,0.924,252900.0,3250.0,29.221,0.376,tests performed
2402,CHE,Switzerland,28Apr,29081,103,1352,16,3360.171,11.901,156.217,1.849,256500.0,3600.0,29.636999999999997,0.41600000000000004,tests performed
2403,CHE,Switzerland,29Apr,29181,100,1379,27,3371.7259999999997,11.555,159.33700000000002,3.12,260500.0,4000.0,30.1,0.462,tests performed
