,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
6838,ITA,Italy,12Apr,152271,4694,19470,619,2518.465,77.63600000000001,322.02099999999996,10.238,1010193.0,46720.0,16.708,0.773,tests performed
6839,ITA,Italy,13Apr,156363,4092,19901,431,2586.144,67.679,329.15,7.127999999999999,1046910.0,36717.0,17.315,0.607,tests performed
6840,ITA,Italy,14Apr,159516,3153,20465,564,2638.2929999999997,52.148999999999994,338.478,9.328,1073689.0,26779.0,17.758,0.44299999999999995,tests performed
6841,ITA,Italy,15Apr,162488,2972,21069,604,2687.448,49.155,348.468,9.99,1117404.0,43715.0,18.480999999999998,0.723,tests performed
6842,ITA,Italy,16Apr,165155,2667,21647,578,2731.558,44.11,358.028,9.56,1178403.0,60999.0,19.49,1.0090000000000001,tests performed
6843,ITA,Italy,17Apr,168941,3786,22172,525,2794.176,62.618,366.711,8.683,1244108.0,65705.0,20.576999999999998,1.087,tests performed
6844,ITA,Italy,18Apr,172434,3493,22747,575,2851.948,57.772,376.221,9.51,1305833.0,61725.0,21.598000000000003,1.021,tests performed
6845,ITA,Italy,19Apr,175925,3491,23227,480,2909.687,57.739,384.16,7.939,1356541.0,50708.0,22.436,0.8390000000000001,tests performed
6846,ITA,Italy,20Apr,178972,3047,23660,433,2960.083,50.395,391.32099999999997,7.162000000000001,1398024.0,41483.0,23.122,0.6859999999999999,tests performed
6847,ITA,Italy,21Apr,181228,2256,24114,454,2997.395,37.313,398.83,7.5089999999999995,1450150.0,52126.0,23.985,0.862,tests performed
6848,ITA,Italy,22Apr,183957,2729,24648,534,3042.531,45.136,407.662,8.832,1513251.0,63101.0,25.028000000000002,1.044,tests performed
6849,ITA,Italy,23Apr,187327,3370,25085,437,3098.2690000000002,55.738,414.89,7.228,1579909.0,66658.0,26.131,1.102,tests performed
6850,ITA,Italy,24Apr,189973,2646,25549,464,3142.032,43.763000000000005,422.564,7.6739999999999995,1642356.0,62447.0,27.164,1.033,tests performed
6851,ITA,Italy,25Apr,192994,3021,25969,420,3191.9970000000003,49.965,429.51099999999997,6.947,1707743.0,65387.0,28.245,1.081,tests performed
6852,ITA,Italy,26Apr,195351,2357,26384,415,3230.9809999999998,38.983000000000004,436.375,6.864,1757659.0,49916.0,29.070999999999998,0.826,tests performed
6853,ITA,Italy,27Apr,197675,2324,26644,260,3269.4179999999997,38.437,440.675,4.3,1789662.0,32003.0,29.6,0.529,tests performed
6854,ITA,Italy,28Apr,199414,1739,26977,333,3298.18,28.761999999999997,446.18199999999996,5.507999999999999,1846934.0,57272.0,30.546999999999997,0.9470000000000001,tests performed
6855,ITA,Italy,29Apr,201505,2091,27359,382,3332.764,34.584,452.5,6.318,1910761.0,63827.0,31.603,1.056,tests performed
